Amidu Salifu;1992;20/03/2013 MF CATANIA
Lucas Nahuel Castro;1989;20/03/2013 MF CATANIA
Sem Addamo;1995;20/03/2013 MF CATANIA
Gonzalo Ruben Bergessio;1984;20/03/2013 FW CATANIA
Edgar Junior Cani;1989;20/03/2013 FW CATANIA
Sergio Gontan Gallardo Keko;1991;20/03/2013 FW CATANIA
Souleymane Doukara;1991;20/03/2013 FW CATANIA
Alejandro Dario Gomez;1988;20/03/2013 FW CATANIA
Fabio Aveni;1994;20/03/2013 FW CATANIA
Maks Barisic;1995;20/03/2013 FW CATANIA
Bruno Petkovic;1994;20/03/2013 FW CATANIA
Lorenzo Squizzi;1974;20/03/2013 GK CHIEVO
Christian Puggioni;1981;20/03/2013 GK CHIEVO
Samir Ujkani;1988;20/03/2013 GK CHIEVO
Marco Andreolli;1986;20/03/2013 DF CHIEVO
Dario Dainelli;1979;20/03/2013 DF CHIEVO
Bostjan Cesar;1982;20/03/2013 DF CHIEVO
Boukary Drame';1985;20/03/2013 DF CHIEVO
Nicolo' Brighenti;1989;20/03/2013 DF CHIEVO
Nikos Spyropoulos;1983;20/03/2013 DF CHIEVO
Bojan Jokic;1986;20/03/2013 DF CHIEVO
Pavol Farkas;1985;20/03/2013 DF CHIEVO
Gennaro Sardo;1979;20/03/2013 DF CHIEVO
Nicholas Sebastian Frey;1984;20/03/2013 DF CHIEVO
Francesco Acerbi;1988;20/03/2013 DF CHIEVO
Paul Papp;1989;20/03/2013 DF CHIEVO
Oumaro Coulibaly;1993;20/03/2013 DF CHIEVO
Mario Sampirisi;1992;20/03/2013 DF CHIEVO
Filippo Costa;1995;20/03/2013 DF CHIEVO
Siqueira De Oliveira Luciano;1975;20/03/2013 MF CHIEVO
Perparim Hetemaj;1986;20/03/2013 MF CHIEVO
Roberto Guana;1981;20/03/2013 MF CHIEVO
Luca Rigoni;1984;20/03/2013 MF CHIEVO
Isaac Cofie;1991;20/03/2013 MF CHIEVO
Kamil Vacek;1987;20/03/2013 MF CHIEVO
Felipe Ignacio Seymour;1987;20/03/2013 MF CHIEVO
Marcello Falzerano;1991;20/03/2013 MF CHIEVO
Cyril Thereau;1983;20/03/2013 FW CHIEVO
Alberto Paloschi;1990;20/03/2013 FW CHIEVO
Sergio Pellissier;1979;20/03/2013 FW CHIEVO
Mamadou Samassa;1986;20/03/2013 FW CHIEVO
Adrian Marius Stoian;1991;20/03/2013 FW CHIEVO
Gabriel Augustin Hauche;1986;20/03/2013 FW CHIEVO
Fernando Himcapie Uribe;1988;20/03/2013 FW CHIEVO
Sebastien Frey;1980;20/03/2013 GK GENOA
Alexandros Tzorvas;1982;20/03/2013 GK GENOA
Antonio Donnarumma;1990;20/03/2013 GK GENOA
Robert Bruno Stillo;1991;20/03/2013 GK GENOA
Mattia Cassani;1983;20/03/2013 DF GENOA
Damiano Ferronetti;1984;20/03/2013 DF GENOA
Luca Antonelli;1987;20/03/2013 DF GENOA
Thomas Manfredini;1980;20/03/2013 DF GENOA
Andreas Granqvist;1985;20/03/2013 DF GENOA
Daniele Portanova;1978;20/03/2013 DF GENOA
Eros Pisano;1987;20/03/2013 DF GENOA
Cesare Bovo;1983;20/03/2013 DF GENOA
Emiliano Moretti;1981;20/03/2013 DF GENOA
Luka Krajnc;1994;20/03/2013 DF GENOA
Ruben Ariel Da Rosa Olivera;1983;20/03/2013 MF GENOA
Francelino Silva Matuzalem;1980;20/03/2013 MF GENOA
Daniel Tozser;1985;20/03/2013 MF GENOA
Juan Manuel Risco Vargas;1983;20/03/2013 MF GENOA
Bosko Jankovic;1984;20/03/2013 MF GENOA
Andrea Bertolacci;1991;20/03/2013 MF GENOA
Marco Rossi;1978;20/03/2013 MF GENOA
Marco Rigoni;1980;20/03/2013 MF GENOA
Juraj Kucka;1987;20/03/2013 MF GENOA
Enis Nadarevic;1987;20/03/2013 MF GENOA
Cristobal Andres Torres Jorquera;1988;20/03/2013 MF GENOA
Moro Alhassan;1994;20/03/2013 MF GENOA
